MRT-name,Latitude,Longitude,,,https://github.com/xkjyeah/MRT-and-LRT-Stations
admiralty,1.4406,103.801,,,https://github.com/xkjyeah/singapore-postal-codes/blob/master/mrt_stations.json
aljunied,1.3164,103.8829,,,
ang mo kio,1.3693,103.8502,,,
bartley,1.3423,103.8802,,,
bayfront,1.2813,103.859,,,
beauty world,1.3417,103.776,,,
bedok,1.3239,103.9296,,,
bedok north,1.3352,103.918,,,
bedok reservoir,1.3366,103.9322,,,
bencoolen,1.2985,103.8499,,,
bendemeer,1.3136,103.863,,,
bishan,1.3508,103.8482,,,
boon keng,1.32,103.8616,,,
boon lay,1.3384,103.7059,,,
botanic gardens,1.3223,103.8149,,,
braddell,1.3407,103.8472,,,
bras basah,1.2977,103.8505,,,
bright hill,1.3632,103.8332,,,
buangkok,1.383,103.8934,,,
bugis,1.3002,103.8561,,,
bukit batok,1.3491,103.7496,,,
bukit gombak,1.3588,103.752,,,
bukit panjang,1.3783,103.7625,,,
buona vista,1.3072,103.7906,,,
caldecott,1.3377,103.8395,,,
canberra,1.4433,103.8296,,,
cashew,1.3699,103.7645,,,
changi airport,1.3573,103.9884,,,
chinatown,1.2848,103.8439,,,
chinese garden,1.3424,103.7326,,,
choa chu kang,1.3846,103.7445,,,
city hall,1.2931,103.852,,,
clarke quay,1.2885,103.8468,,,
clementi,1.3152,103.7652,,,
commonwealth,1.3024,103.7983,,,
dakota,1.3084,103.8888,,,
dhoby ghaut,1.2989,103.8455,,,
dover,1.3114,103.7786,,,
downtown,1.2794,103.8529,,,
esplanade,1.294,103.8554,,,
eunos,1.3197,103.9029,,,
expo,1.3345,103.9616,,,
farrer park,1.3124,103.8542,,,
farrer road,1.3176,103.8075,,,
fort canning,1.2924,103.8442,,,
gardens by the bay,1.2797,103.868,,,
geylang bahru,1.3214,103.8717,,,
great world,1.2949,103.8334,,,
gul circle,1.3188,103.6604,,,
harbour front,1.2652,103.8222,,,
havelock,1.2902,103.8332,,,
haw par villa,1.2831,103.782,,,
hillview,1.3631,103.7674,,,
holland village,1.3109,103.7952,,,
hougang,1.3612,103.8863,,,
jalan besar,1.3044,103.8548,,,
joo koon,1.3277,103.6783,,,
jurong east,1.3332,103.7423,,,
kaki bukit,1.3349,103.9084,,,
kallang,1.3115,103.8714,,,
kembangan,1.321,103.9129,,,
kent ridge,1.2935,103.7845,,,
khatib,1.4173,103.833,,,
king albert park,1.3356,103.7833,,,
kovan,1.3597,103.8843,,,
kranji,1.4252,103.762,,,
labrador park,1.2722,103.8026,,,
lakeside,1.3443,103.7209,,,
lavender,1.3073,103.8629,,,
lentor,1.3844,103.8368,,,
little india,1.3063,103.8494,,,
lorong chuan,1.3516,103.8641,,,
macpherson,1.3261,103.8892,,,
marina bay,1.2761,103.8551,,,
marina south pier,1.2714,103.8636,,,
marsiling,1.4325,103.7741,,,
marymount,1.3487,103.8394,,,
mattar,1.326876,103.88324,,,
maxwell,1.2807,103.8441,,,
mayflower,1.3726,103.837,,,
mountbatten,1.3062,103.8825,,,
napier,1.306,103.8197,,,
newton,1.3138,103.8381,,,
nicoll highway,1.2997,103.8636,,,
novena,1.3204,103.8438,,,
one-north,1.2997,103.7874,,,
orchard,1.3048,103.8318,,,
orchard boulevard,1.3025,103.8238,,,
outram park,1.2803,103.8403,,,
pasir panjang,1.2825,103.7817,,,
pasir ris,1.3732,103.9493,,,
paya lebar,1.3182,103.8931,,,
pioneer,1.3376,103.6969,,,
potong pasir,1.3312,103.8691,,,
promenade,1.2939,103.8603,,,
punggol,1.4045,103.90207,,,
queenstown,1.2942,103.8061,,,
raffles place,1.283,103.8513,,,
redhill,1.2894,103.817,,,
rochor,1.3038,103.8527,,,
sembawang,1.4491,103.82,,,
sengkang,1.3916,103.8954,,,
serangoon,1.3499,103.8734,,,
shenton way,1.2777,103.8507,,,
simei,1.3432,103.9534,,,
sixth avenue,1.3308,103.7969,,,
somerset,1.3005,103.8385,,,
springleaf,1.397,103.8181,,,
stadium,1.3028,103.8753,,,
stevens,1.32006,103.826,,,
tai seng,1.335,103.8884,,,
tampines,1.3533,103.9452,,,
tampines east,1.3563,103.9546,,,
tampines west,1.3456,103.938218,,,
tan kah kee,1.3255,103.8077,,,
tanah merah,1.3272,103.9465,,,
tanjong pagar,1.2765,103.8459,,,
telok ayer,1.282,103.8486,,,
telok blangah,1.2707,103.8097,,,
tiong bahru,1.2857,103.8269,,,
toa payoh,1.3323,103.8474,,,
tuas crescent,1.3219,103.6482,,,
tuas link,1.3403,103.6367,,,
tuas west road,1.33,103.6396,,,
ubi,1.33,103.899,,,
upper changi,1.3417,103.9615,,,
upper thomson,1.354,103.8338,,,
woodlands,1.4369,103.7865,,,
woodlands north,1.4479,103.7854,,,
woodlands south,1.4274,103.7931,,,
woodleigh,1.3388,103.8705,,,
yew tee,1.3976,103.7475,,,
yio chu kang,1.3817,103.8451,,,
yishun,1.4295,103.835,,,
